university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
TBS Education,Banking and International Finance,MSc,22866.0,1.0,,"Paris, France",https://www.study.eu/university/tbs-education/msc-banking-and-international-finance,Master's,📊 Business & Management,⚪ Unranked/Missing Data
University of Szeged,Biochemical Engineer,BSc,26267.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-biochemical-engineer,Bachelor's,⚙️ Engineering,🟢 Budget-Friendly
University of Szeged,Biology,MSc,14071.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-biology-11277,Master's,🧬 Health & Science,🟢 Budget-Friendly
Chalmers University of Technology,Biotechnology: Food and health,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-biotechnology-food-and-health,Master's,💻 Tech & IT,🟢 Budget-Friendly
TBS Education,Brand Management & Creativity (Barcelona),Master,22866.0,1.0,,"Barcelona, Spain",https://www.study.eu/university/tbs-education/master-brand-management-creativity-barcelona,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
SRH Haarlem University of Applied Sciences,Business Psychology,Bachelor,63323.0,4.0,,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-business-psychology,Bachelor's,📊 Business & Management,⚪ Unranked/Missing Data
Vilnius University,Career Education,Master,10149.0,1.5,648.0,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-career-education,Master's,📚 General/Other,🟢 Budget-Friendly
University of Helsinki,Changing Education,MA,42215.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-changing-education,Other,📚 General/Other,🟢 Budget-Friendly
University of Helsinki,Chemistry and Molecular Sciences,MSc,35179.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-chemistry-and-molecular-sciences,Master's,📚 General/Other,🟢 Budget-Friendly
University of Szeged,Computer Science,MSc,19231.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-computer-science-11270,Master's,💻 Tech & IT,🟢 Budget-Friendly
University of Helsinki,Contemporary Societies,Master,30488.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/master-contemporary-societies,Master's,📚 General/Other,🟢 Budget-Friendly
TBS Education,"Cultural Management: Music, Screen & Video Games (Barcelona)",MSc,22866.0,1.0,,"Barcelona, Spain",https://www.study.eu/university/tbs-education/msc-cultural-management-music-screen-video-games-barcelona,Master's,📊 Business & Management,⚪ Unranked/Missing Data
University of Helsinki,Data Science,MSc,35179.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-data-science-10514,Master's,💻 Tech & IT,🟢 Budget-Friendly
University of Helsinki,Ecology and Evolutionary Biology,MSc,35179.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-ecology-and-evolutionary-biology,Master's,🧬 Health & Science,🟢 Budget-Friendly
University of Helsinki,Economics,MSc,42215.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-economics-2039,Master's,📊 Business & Management,🟢 Budget-Friendly
University of Szeged,Educational Science,MA,23453.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-educational-science,Other,📚 General/Other,🟢 Budget-Friendly
SRH University,"Engineering and Sustainable Technology Management - Industry 4.0: Automation, Robotics & 3D Manufacturing",MEng,30301.0,,6422.0,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/meng-engineering-and-sustainable-technology-management-indus,Other,💻 Tech & IT,🟡 Standard Value
University of Szeged,English and American Studies,BA,10553.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ba-english-and-american-studies,Other,📚 General/Other,🟢 Budget-Friendly
University of Helsinki,English Studies,MA,30488.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-english-studies-2040,Other,📚 General/Other,🟢 Budget-Friendly
University of Szeged,English Studies,MA,8912.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-english-studies-11271,Other,📚 General/Other,🟢 Budget-Friendly
University of Helsinki,Environmental Change and Global Sustainability,Master,30488.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/master-environmental-change-and-global-sustainability,Master's,💻 Tech & IT,🟢 Budget-Friendly
University of Helsinki,European and Nordic Studies,MA,30488.0,2.0,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-european-and-nordic-studies,Other,📚 General/Other,🟢 Budget-Friendly
University of Szeged,Food Science and Technology Engineering,MSc,12430.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-food-science-and-technology-engineering,Master's,💻 Tech & IT,🟢 Budget-Friendly
