university_name,program_name,degree,tuition_fee_usd_total,program_duration,global_ranking,university_location,url
University of Helsinki,English Studies,MA,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-english-studies-2040
University of Szeged,English Studies,MA,"8,769 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-english-studies-11271
University of Helsinki,Environmental Change and Global Sustainability,Master,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/master-environmental-change-and-global-sustainability
University of Helsinki,European and Nordic Studies,MA,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-european-and-nordic-studies
University of Szeged,Food Science and Technology Engineering,MSc,"12,231 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-food-science-and-technology-engineering
University of Helsinki,Food Sciences,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-food-sciences
University of Helsinki,Forest Sciences,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-forest-sciences
University of Szeged,General Medicine,Master,"109,390 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/master-general-medicine
University of Helsinki,Genetics and Molecular Biosciences,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-genetics-and-molecular-biosciences
University of Helsinki,Geography,MSc,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-geography-10519
University of Szeged,Geoinformatics,MSc,"14,769 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-geoinformatics-24942
University of Helsinki,Geology and Geophysics,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-geology-and-geophysics
TBS Education,Global Executive MBA,MBA,"48,464 USD in total (students from outside EU/EEA)",1.5 years part-time,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/mba-global-executive-mba
University of Helsinki,Global Politics and Communication,MSc,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-global-politics-and-communication
University of Helsinki,Human Nutrition and Food-Related Behaviour,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-human-nutrition-and-food-related-behaviour
University of Szeged,Instruction of English as a Foreign Language,MA,"5,769 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-instruction-of-english-as-a-foreign-language
University of Helsinki,Integrative Plant Sciences,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-integrative-plant-sciences
University of Helsinki,Liberal Arts and Sciences,Bachelor,"45,002 USD in total (students from outside EU/EEA)",3 years (180 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/bachelor-liberal-arts-and-sciences-28315
University of Helsinki,Life Science Informatics,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-life-science-informatics-10524
