university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
Central European University (CEU),Business Analytics,MSc,17308.0,1.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-business-analytics
University of Szeged,Chemistry,MSc,16616.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-chemistry-11276
University of Szeged,Classical Musical Instrumental Performance,MA,11539.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-classical-musical-instrumental-performance
KTH Royal Institute of Technology,Communication Systems,Master,,2.0,150,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-communication-systems
University of Szeged,Comparative Intellectual Property Law,LLM,,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/llm-comparative-intellectual-property-law
TSI Transport and Telecommunication Institute,Computer Science: Artificial Intelligence,Bachelor,30001.0,4.0,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/bachelor-computer-science-artificial-intelligence
SRH University,Computer Science - Big Data and Artificial Intelligence,MSc,29816.0,,6422,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-big-data-and-artificial-intelligence
SRH University,Computer Science - Cyber Security,MSc,29816.0,,6422,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-cyber-security
SRH Haarlem University of Applied Sciences,Creative Media,Bachelor,62310.0,4.0,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-creative-media
Central European University (CEU),"Culture, Politics and Society",BA,41540.0,3.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-culture-politics-and-society
Vilnius University,Data Science,Master,10385.0,1.5,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-data-science-21857
EURECOM,Data Science and Engineering,MSc,20770.0,2.0,1941,"Sophia Antipolis, France",https://www.study.eu/university/eurecom/msc-data-science-and-engineering
Central European University (CEU),Data Science and Society,BA,41540.0,3.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-data-science-and-society
Modul University Vienna,Data Science for Sustainability (Specializations available),MSc,32309.0,2.0,6937,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-data-science-for-sustainability-specializations-availabl
Vilnius University,Dentistry,B+M,86542.0,5.0,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/b-m-dentistry
SRH University,Digital Supply Chain Management,MSc,29816.0,,6422,"Berlin, Germany",https://www.study.eu/university/srh-university/msc-digital-supply-chain-management
SRH Haarlem University of Applied Sciences,Digital Transformation Management,Bachelor,62310.0,4.0,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/bachelor-digital-transformation-management
SRH University,Engineering and Sustainable Technology Management - Mobility and Automotive Industry,MEng,29816.0,,6422,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/meng-engineering-and-sustainable-technology-management-mobil
Central European University (CEU),Environmental Sciences and Policy,MSc,13846.0,1.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-environmental-sciences-and-policy
Central European University (CEU),European Women's and Gender History,MA,27693.0,2.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-european-women-s-and-gender-history
Central European University (CEU),Finance,MSc,17308.0,0.83,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-finance-19481
Vytautas Magnus University,Future Media and Journalism,Master,7972.0,1.5,1462,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-future-media-and-journalism
University of Szeged,Geography,MSc,12462.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-geography-11278
Central European University (CEU),Global Business Law and Regulation,LLM,15000.0,1.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/llm-global-business-law-and-regulation
Central European University (CEU),Global Comparative Constitutional Studies,LLM,15000.0,1.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/llm-global-comparative-constitutional-studies
Technische Universität Berlin,Global Production Engineering,MSc,17885.0,2.0,369,"Berlin, Germany",https://www.study.eu/university/technische-universitat-berlin/msc-global-production-engineering
Windesheim University of Applied Sciences,Global Project and Change Management,BBA,43003.0,4.0,3406,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-global-project-and-change-management
SRH University,Hospitality Management & Leadership,MA,18087.0,,6422,"Dresden, Germany",https://www.study.eu/university/srh-university/ma-hospitality-management-leadership
University of Technology Nuremberg,Human and Artificial Intelligence,Master,,2.0,N/A,"Nuremberg, Germany",https://www.study.eu/university/university-of-technology-nuremberg/master-human-and-artificial-intelligence
Anglo-American University,"Humanities, Society and Culture: Sociology, Psychology and Leadership",BA,36679.0,,8869,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-humanities-society-and-culture-sociology-psychology-and-l
Modul University Vienna,Human Resources Management,BSc,62310.0,3.0,6937,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/bsc-human-resources-management
Central European University (CEU),Human Rights,MA,13846.0,1.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-human-rights
TSI Transport and Telecommunication Institute,Intelligent Transport and Smart Logistics,MSc,,,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/msc-intelligent-transport-and-smart-logistics
Chalmers University of Technology,Interaction Design and Technologies,MSc,29704.0,,270,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-interaction-design-and-technologies
University of Szeged,International and European Trade and Investment Law,LLM,5538.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/llm-international-and-european-trade-and-investment-law
Windesheim University of Applied Sciences,International Business,BBA,43003.0,4.0,3406,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-international-business-18477
SRH University,International Business Administration,BA,35221.0,,6422,"Berlin, Germany + 5 more campuses",https://www.study.eu/university/srh-university/ba-international-business-administration-19834
SRH University,International Business and Engineering,MEng,28282.0,,6422,"Heidelberg, Germany",https://www.study.eu/university/srh-university/meng-international-business-and-engineering
SRH University,International Business and Leadership - Healthcare Management,MA,24116.0,,6422,"Dresden, Germany",https://www.study.eu/university/srh-university/ma-international-business-and-leadership-healthcare-manageme
Anglo-American University,International Business and Policy,MA,24453.0,,8869,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ma-international-business-and-policy
Vilnius University,International Communication,Master,7972.0,1.5,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-international-communication
University of Szeged,International Economy and Business,MSc,12923.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-international-economy-and-business
International Graduate Center,International MBA - Focus International Sustainable Risk Management,MBA,21353.0,1.5,N/A,"Bremen, Germany + 1 more campus",https://www.study.eu/university/international-graduate-center/mba-international-mba-focus-international-sustainable-risk-m
Anglo-American University,International Relations and Diplomacy,MA,24453.0,,8869,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ma-international-relations-and-diplomacy
Modul University Vienna,International Tourism Management (Specializations available),MSc,32309.0,2.0,6937,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-international-tourism-management-specializations-availab
Vilnius University,Laser Physics and Optical Technologies,Master,15000.0,2.0,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-laser-physics-and-optical-technologies
Modul University Vienna,Management (Specializations available),MSc,32309.0,2.0,6937,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/msc-management-specializations-available
Modul University Vienna,Master of Business Administration with Specializations,MBA,38078.0,1.5,6937,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/mba-master-of-business-administration-with-specializations
Chalmers University of Technology,Materials Chemistry,MSc,33947.0,,270,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-materials-chemistry
International Graduate Center,MBA in Executive Management (for Engineers),MBA,19501.0,1.5,N/A,"Bremen, Germany",https://www.study.eu/university/international-graduate-center/mba-mba-in-executive-management-for-engineers
Vilnius University,Medicine,B+M,97620.0,6.0,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/b-m-medicine
University of Twente,Nanotechnology,MSc,,2.0,257,"Enschede, Netherlands",https://www.study.eu/university/university-of-twente/msc-nanotechnology
Vilnius University,Nursing,Bachelor,27693.0,4.0,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/bachelor-nursing
University of Szeged,Pharmacy,Master,28847.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/master-pharmacy-11282
Central European University (CEU),"Philosophy, Politics and Economics",BA,41540.0,3.0,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ba-philosophy-politics-and-economics
Vilnius University,Politics of Global Challenges,Bachelor,14659.0,4.0,648,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/bachelor-politics-of-global-challenges
University of Szeged,Study of Religions,MA,8769.0,,646,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-study-of-religions
SRH University,Sustainable Battery Production Engineering (dual),MEng,29770.0,,6422,"Berlin, Germany",https://www.study.eu/university/srh-university/meng-sustainable-battery-production-engineering-dual
Windesheim University of Applied Sciences,Sustainable Business and Innovations,BBA,43003.0,4.0,3406,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-sustainable-business-and-innovations
Chalmers University of Technology,Sustainable Energy Systems,MSc,29704.0,,270,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-sustainable-energy-systems-7990
HAMK Häme University of Applied Sciences,Sustainable Forest Management,Bachelor,44771.0,4.0,N/A,"Hämeenlinna, Finland",https://www.study.eu/university/hamk-hame-university-of-applied-sciences/bachelor-sustainable-forest-management
KTH Royal Institute of Technology,"Technology, Work and Health",Master,,2.0,150,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-technology-work-and-health
Modul University Vienna,"Tourism, Hotel Management and Operations (New York Extension available)",BBA,83081.0,4.0,6937,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/bba-tourism-hotel-management-and-operations-new-york-extensi
SRH University,User Experience Design and Content Creation,BA,36257.0,,6422,"Berlin, Germany + 2 more campuses",https://www.study.eu/university/srh-university/ba-user-experience-design-and-content-creation
"Konstfack University of Arts, Crafts and Design",Visual Communication,MFA,,2.0,7548,"Stockholm, Sweden",https://www.study.eu/university/konstfack-university-of-arts-crafts-and-design/mfa-visual-communication
SRH University,Water Technology,MEng,21211.0,,6422,"Heidelberg, Germany",https://www.study.eu/university/srh-university/meng-water-technology
SRH University,Web Development,BSc,36257.0,,6422,"Berlin, Germany",https://www.study.eu/university/srh-university/bsc-web-development
SRH University,World Music,BA,34530.0,,6422,"Berlin, Germany",https://www.study.eu/university/srh-university/ba-world-music
Lancaster University Leipzig,Accounting and Finance,BSc (Hons),59714.0,,265,"Leipzig, Germany",https://www.study.eu/university/lancaster-university-leipzig/bsc-hons-accounting-and-finance
Vytautas Magnus University,Agronomy,Master,12780.0,2.0,1462,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-agronomy
Radboud University,American Studies,BA,47747.0,3.0,226,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ba-american-studies-5850
Radboud University,Anthropology and Development Studies,MSc,21777.0,1.0,226,"Nijmegen, Netherlands + 1 more campus",https://www.study.eu/university/radboud-university/msc-anthropology-and-development-studies
